model,seed,window_id,dropped_feature,original_reward,ablated_reward,delta_reward,original_sharpe,ablated_sharpe,delta_sharpe
ppo_bayeslvr,29,1,var_lvr_next,-131859.83576934435,-131859.83576934435,0.0,-115.29996603678308,-115.29996603678308,0.0
ppo_bayeslvr_attention,7,0,ci90_lvr_width,3317.609854899075,3122.5182794842544,-195.09157541482045,8.247429299043795,7.0580461400036,-1.1893831590401946
ppo_bayeslvr_attention,7,1,ci90_lvr_width,131716.2832943211,143070.83699314547,11354.55369882437,20.501504714952077,17.82723695284603,-2.674267762106048
ppo_bayeslvr_attention,17,0,ci90_lvr_width,3307.704966912862,3292.5177949093877,-15.187172003474188,8.06401430188219,8.02667217607248,-0.03734212580970997
ppo_bayeslvr_attention,17,1,ci90_lvr_width,251891.39158367075,251891.39158367075,0.0,29.403228952288288,29.403228952288288,0.0
ppo_bayeslvr_attention,29,0,ci90_lvr_width,5277.8200825906115,5275.164352499493,-2.65573009111813,5.935826452523208,5.932820662881747,-0.003005789641460588
ppo_bayeslvr_attention,29,1,ci90_lvr_width,14039.068257772393,13182.087991031474,-856.9802667409185,11.642107315063438,10.929660285342594,-0.7124470297208436
ppo_bayeslvr_attention,7,0,expected_lvr_next,3317.609854899075,3317.609854899075,0.0,8.247429299043795,8.247429299043795,0.0
ppo_bayeslvr_attention,7,1,expected_lvr_next,131716.2832943211,131714.46900432892,-1.81428999218042,20.501504714952077,20.68778187443648,0.18627715948440482
ppo_bayeslvr_attention,17,0,expected_lvr_next,3307.704966912862,3307.704966912862,0.0,8.06401430188219,8.06401430188219,0.0
ppo_bayeslvr_attention,17,1,expected_lvr_next,251891.39158367075,251891.39158367075,0.0,29.403228952288288,29.403228952288288,0.0
ppo_bayeslvr_attention,29,0,expected_lvr_next,5277.8200825906115,5277.8200825906115,0.0,5.935826452523208,5.935826452523208,0.0
ppo_bayeslvr_attention,29,1,expected_lvr_next,14039.068257772393,15024.705713235082,985.6374554626891,11.642107315063438,12.494543209919321,0.8524358948558834
