model,seed,window_id,split_type,regime,n_steps,sigma_low,sigma_high,cumulative_reward,avg_step_reward,median_step_reward,sharpe_ratio,width_mean,width_median,width_std,action_distribution
ppo_bayeslvr_gated,29,1,quartile,q2,207,0.00765609430405071,0.00877464812492682,241.2345042737773,1.1653840786172818,-1.6408270643580467,14.076782714971833,100.0,100.0,0.0,"{""0"": 207}"
ppo_bayeslvr_gated,29,1,quartile,q3,207,0.00877686518307358,0.011221973722211651,15307.531709606405,73.9494285488232,-2.107905892682748,18.3124358597326,97.34299516908213,100.0,11.215639387675266,"{""0"": 196, ""50"": 11}"
ppo_bayeslvr_gated,29,1,quartile,q4,208,0.011289584285662409,0.020503009953609787,468693.4375926696,2253.3338345801426,25.197760934939417,29.17102411585709,80.28846153846153,100.0,24.434241845332814,"{""0"": 125, ""100"": 1, ""50"": 82}"
ppo_ewma_vol,7,0,median,high,173,0.008840465174475872,0.01560724332873508,7639.765976441773,44.16049697365187,-4.99988105931067,15.522344640933097,23.526011560693643,20.0,18.07964603788906,"{""10"": 11, ""100"": 9, ""20"": 153}"
ppo_ewma_vol,7,0,median,low,173,0.006434286179257332,0.008817543493979223,-619.7932114269181,-3.5826197192307405,-4.999977320002795,-78.40631947172973,20.0,20.0,0.0,"{""20"": 173}"
ppo_ewma_vol,7,0,quartile,q1,87,0.006434286179257332,0.007875464045306988,-276.31403053632596,-3.1760233394979993,-4.999920573750993,-57.500395121688435,20.0,20.0,0.0,"{""20"": 87}"
ppo_ewma_vol,7,0,quartile,q2,86,0.007878949106264974,0.008817543493979223,-343.47918089059215,-3.9939439638440946,-4.99998477763416,-121.80211446221047,20.0,20.0,0.0,"{""20"": 86}"
ppo_ewma_vol,7,0,quartile,q3,86,0.008840465174475872,0.01002622332224893,-542.1912084736427,-6.304548935740032,-4.999747150424145,-32.95136374901673,19.88372093023256,20.0,1.0720400531735919,"{""10"": 1, ""20"": 85}"
ppo_ewma_vol,7,0,quartile,q4,87,0.010046185584194128,0.01560724332873508,8181.9571849154145,94.04548488408523,-4.99999995978074,23.89763580100144,27.126436781609197,20.0,24.955502743654193,"{""10"": 10, ""100"": 9, ""20"": 68}"
ppo_ewma_vol,7,1,median,high,415,0.00877686518307358,0.020503009953609787,-97240.54630386306,-234.31456940689893,-196.68213890594436,-195.37996718055135,10.0,10.0,0.0,"{""0"": 415}"
ppo_ewma_vol,7,1,median,low,415,0.005260547759978775,0.00877464812492682,-34619.2894654813,-83.41997461561759,-93.09571657341476,-81.05810834437972,10.0,10.0,0.0,"{""0"": 415}"
ppo_ewma_vol,7,1,quartile,q1,208,0.005260547759978775,0.0076527614776512485,-12808.322926089151,-61.57847560619784,-77.07257257576838,-43.58875241026393,10.0,10.0,0.0,"{""0"": 208}"
ppo_ewma_vol,7,1,quartile,q2,207,0.00765609430405071,0.00877464812492682,-21810.966539392142,-105.36698811300552,-103.95327470062615,-1159.6599200240464,10.0,10.0,0.0,"{""0"": 207}"
ppo_ewma_vol,7,1,quartile,q3,207,0.00877686518307358,0.011221973722211651,-30090.54676096571,-145.36496019790198,-139.94172379812582,-627.0697741906795,10.0,10.0,0.0,"{""0"": 207}"
ppo_ewma_vol,7,1,quartile,q4,208,0.011289584285662409,0.020503009953609787,-67149.99954289736,-322.83653626392964,-308.4944191341143,-319.22762104596046,10.0,10.0,0.0,"{""0"": 208}"
ppo_ewma_vol,17,0,median,high,415,0.0076104117815991865,0.01560724332873508,23816.209823975383,57.3884574071696,31.497206690756204,67.07771126276633,100.0,100.0,0.0,"{""100"": 415}"
ppo_ewma_vol,17,0,median,low,415,0.003904311458280414,0.0075938423613455455,4684.67353533563,11.288369964664168,8.190853970415697,63.257855498919966,100.0,100.0,0.0,"{""100"": 415}"
